HuggingFaceID,Architecture,System,Backend,Version,Mode,Status,ErrMsg,Command
MiniMaxAI/MiniMax-M2.5,MiniMaxM2ForCausalLM,a100_sxm,sglang,0.5.10,agg,UNHEALABLE,a100_sxm (SM80) does not support FP8 required by MiniMaxAI/MiniMax-M2.5,uv run aiconfigurator cli default --model MiniMaxAI/MiniMax-M2.5 --total-gpus 128 --system a100_sxm --backend sglang --backend-version 0.5.10 --database-mode SILICON --isl 256 --osl 256 --prefix 128 --ttft 2000000.0 --tpot 50000.0 --top-n 1 --no-color
MiniMaxAI/MiniMax-M2.5,MiniMaxM2ForCausalLM,a100_sxm,sglang,0.5.10,disagg,UNHEALABLE,a100_sxm (SM80) does not support FP8 required by MiniMaxAI/MiniMax-M2.5,uv run aiconfigurator cli default --model MiniMaxAI/MiniMax-M2.5 --total-gpus 128 --system a100_sxm --backend sglang --backend-version 0.5.10 --database-mode SILICON --isl 256 --osl 256 --prefix 128 --ttft 2000000.0 --tpot 50000.0 --top-n 1 --no-color
MiniMaxAI/MiniMax-M2.5,MiniMaxM2ForCausalLM,a100_sxm,sglang,0.5.9,agg,UNHEALABLE,a100_sxm (SM80) does not support FP8 required by MiniMaxAI/MiniMax-M2.5,uv run aiconfigurator cli default --model MiniMaxAI/MiniMax-M2.5 --total-gpus 128 --system a100_sxm --backend sglang --backend-version 0.5.9 --database-mode SILICON --isl 256 --osl 256 --prefix 128 --ttft 2000000.0 --tpot 50000.0 --top-n 1 --no-color
MiniMaxAI/MiniMax-M2.5,MiniMaxM2ForCausalLM,a100_sxm,sglang,0.5.9,disagg,UNHEALABLE,a100_sxm (SM80) does not support FP8 required by MiniMaxAI/MiniMax-M2.5,uv run aiconfigurator cli default --model MiniMaxAI/MiniMax-M2.5 --total-gpus 128 --system a100_sxm --backend sglang --backend-version 0.5.9 --database-mode SILICON --isl 256 --osl 256 --prefix 128 --ttft 2000000.0 --tpot 50000.0 --top-n 1 --no-color
MiniMaxAI/MiniMax-M2.5,MiniMaxM2ForCausalLM,a100_sxm,trtllm,1.0.0,agg,UNHEALABLE,a100_sxm (SM80) does not support FP8 required by MiniMaxAI/MiniMax-M2.5,uv run aiconfigurator cli default --model MiniMaxAI/MiniMax-M2.5 --total-gpus 128 --system a100_sxm --backend trtllm --backend-version 1.0.0 --database-mode SILICON --isl 256 --osl 256 --prefix 128 --ttft 2000000.0 --tpot 50000.0 --top-n 1 --no-color
MiniMaxAI/MiniMax-M2.5,MiniMaxM2ForCausalLM,a100_sxm,trtllm,1.0.0,disagg,UNHEALABLE,a100_sxm (SM80) does not support FP8 required by MiniMaxAI/MiniMax-M2.5,uv run aiconfigurator cli default --model MiniMaxAI/MiniMax-M2.5 --total-gpus 128 --system a100_sxm --backend trtllm --backend-version 1.0.0 --database-mode SILICON --isl 256 --osl 256 --prefix 128 --ttft 2000000.0 --tpot 50000.0 --top-n 1 --no-color
MiniMaxAI/MiniMax-M2.5,MiniMaxM2ForCausalLM,a100_sxm,vllm,0.14.0,agg,UNHEALABLE,a100_sxm (SM80) does not support FP8 required by MiniMaxAI/MiniMax-M2.5,uv run aiconfigurator cli default --model MiniMaxAI/MiniMax-M2.5 --total-gpus 128 --system a100_sxm --backend vllm --backend-version 0.14.0 --database-mode SILICON --isl 256 --osl 256 --prefix 128 --ttft 2000000.0 --tpot 50000.0 --top-n 1 --no-color
MiniMaxAI/MiniMax-M2.5,MiniMaxM2ForCausalLM,a100_sxm,vllm,0.14.0,disagg,UNHEALABLE,a100_sxm (SM80) does not support FP8 required by MiniMaxAI/MiniMax-M2.5,uv run aiconfigurator cli default --model MiniMaxAI/MiniMax-M2.5 --total-gpus 128 --system a100_sxm --backend vllm --backend-version 0.14.0 --database-mode SILICON --isl 256 --osl 256 --prefix 128 --ttft 2000000.0 --tpot 50000.0 --top-n 1 --no-color
MiniMaxAI/MiniMax-M2.7,MiniMaxM2ForCausalLM,a100_sxm,sglang,0.5.10,agg,UNHEALABLE,a100_sxm (SM80) does not support FP8 required by MiniMaxAI/MiniMax-M2.7,uv run aiconfigurator cli default --model MiniMaxAI/MiniMax-M2.7 --total-gpus 128 --system a100_sxm --backend sglang --backend-version 0.5.10 --database-mode SILICON --isl 256 --osl 256 --prefix 128 --ttft 2000000.0 --tpot 50000.0 --top-n 1 --no-color
MiniMaxAI/MiniMax-M2.7,MiniMaxM2ForCausalLM,a100_sxm,sglang,0.5.10,disagg,UNHEALABLE,a100_sxm (SM80) does not support FP8 required by MiniMaxAI/MiniMax-M2.7,uv run aiconfigurator cli default --model MiniMaxAI/MiniMax-M2.7 --total-gpus 128 --system a100_sxm --backend sglang --backend-version 0.5.10 --database-mode SILICON --isl 256 --osl 256 --prefix 128 --ttft 2000000.0 --tpot 50000.0 --top-n 1 --no-color
MiniMaxAI/MiniMax-M2.7,MiniMaxM2ForCausalLM,a100_sxm,sglang,0.5.9,agg,UNHEALABLE,a100_sxm (SM80) does not support FP8 required by MiniMaxAI/MiniMax-M2.7,uv run aiconfigurator cli default --model MiniMaxAI/MiniMax-M2.7 --total-gpus 128 --system a100_sxm --backend sglang --backend-version 0.5.9 --database-mode SILICON --isl 256 --osl 256 --prefix 128 --ttft 2000000.0 --tpot 50000.0 --top-n 1 --no-color
MiniMaxAI/MiniMax-M2.7,MiniMaxM2ForCausalLM,a100_sxm,sglang,0.5.9,disagg,UNHEALABLE,a100_sxm (SM80) does not support FP8 required by MiniMaxAI/MiniMax-M2.7,uv run aiconfigurator cli default --model MiniMaxAI/MiniMax-M2.7 --total-gpus 128 --system a100_sxm --backend sglang --backend-version 0.5.9 --database-mode SILICON --isl 256 --osl 256 --prefix 128 --ttft 2000000.0 --tpot 50000.0 --top-n 1 --no-color
