HuggingFaceID,Architecture,System,Backend,Version,Mode,Status,ErrMsg,Command
MiniMaxAI/MiniMax-M2.5,MiniMaxM2ForCausalLM,rtx_pro_6000_server,sglang,0.5.10,agg,FRAMEWORK_INCOMPATIBLE,"FRAMEWORK_INCOMPATIBLE: RTX Pro 6000 Server uses SM120, and SGLang 0.5.10 does not have a working DeepGEMM fp8_block GEMM recipe for this GPU. This was verified on an 8-GPU RTX Pro 6000 Server Brev node with lmsysorg/sglang:v0.5.10-cu130: the SGLang collector reported compute capability 12.0 and excluded fp8_block from get_gemm_test_cases(), and direct run_gemm('fp8_block') probes for 128/256/512 square GEMMs all failed before producing perf data with RuntimeError: Assertion error (_deps/repo-deepgemm-src/csrc/apis/../jit_kernels/impls/../heuristics/../../utils/layout.hpp:56): Unknown recipe.\n\nOriginal traceback:\nTraceback (most recent call last):\n  File ""tools/support_matrix/support_matrix.py"", line 903, in run_single_test\n    python_pareto_df = SupportMatrix._run_mode(\n                       ^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""tools/support_matrix/support_matrix.py"", line 793, in _run_mode\n    task_config = SupportMatrix._create_task_config(\n                  ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""tools/support_matrix/support_matrix.py"", line 779, in _create_task_config\n    return TaskConfig(**task_config_kwargs)\n           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/task.py"", line 924, in __init__\n    self.validate()\n  File ""src/aiconfigurator/sdk/task.py"", line 1102, in validate\n    _validate_worker_config(\n  File ""src/aiconfigurator/sdk/task.py"", line 1061, in _validate_worker_config\n    _supported_or_raise(""gemm"", gemm_mode, supported, system_name, backend_version)\n  File ""src/aiconfigurator/sdk/task.py"", line 989, in _supported_or_raise\n    raise exc_type(\nValueError: Unsupported gemm quant mode 'fp8_block' for system='rtx_pro_6000_server', backend='sglang', version='0.5.10'. Supported gemm modes: ['bfloat16', 'fp8', 'fp8_static', 'nvfp4']\n",uv run aiconfigurator cli default --model-path MiniMaxAI/MiniMax-M2.5 --total-gpus 128 --system rtx_pro_6000_server --backend sglang --backend-version 0.5.10 --database-mode SILICON --isl 256 --osl 256 --prefix 128 --ttft 2000000.0 --tpot 50000.0 --top-n 1 --no-color
MiniMaxAI/MiniMax-M2.5,MiniMaxM2ForCausalLM,rtx_pro_6000_server,sglang,0.5.10,disagg,FRAMEWORK_INCOMPATIBLE,"FRAMEWORK_INCOMPATIBLE: RTX Pro 6000 Server uses SM120, and SGLang 0.5.10 does not have a working DeepGEMM fp8_block GEMM recipe for this GPU. This was verified on an 8-GPU RTX Pro 6000 Server Brev node with lmsysorg/sglang:v0.5.10-cu130: the SGLang collector reported compute capability 12.0 and excluded fp8_block from get_gemm_test_cases(), and direct run_gemm('fp8_block') probes for 128/256/512 square GEMMs all failed before producing perf data with RuntimeError: Assertion error (_deps/repo-deepgemm-src/csrc/apis/../jit_kernels/impls/../heuristics/../../utils/layout.hpp:56): Unknown recipe.\n\nOriginal traceback:\nTraceback (most recent call last):\n  File ""tools/support_matrix/support_matrix.py"", line 903, in run_single_test\n    python_pareto_df = SupportMatrix._run_mode(\n                       ^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""tools/support_matrix/support_matrix.py"", line 793, in _run_mode\n    task_config = SupportMatrix._create_task_config(\n                  ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""tools/support_matrix/support_matrix.py"", line 779, in _create_task_config\n    return TaskConfig(**task_config_kwargs)\n           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/task.py"", line 924, in __init__\n    self.validate()\n  File ""src/aiconfigurator/sdk/task.py"", line 1106, in validate\n    _validate_worker_config(\n  File ""src/aiconfigurator/sdk/task.py"", line 1061, in _validate_worker_config\n    _supported_or_raise(""gemm"", gemm_mode, supported, system_name, backend_version)\n  File ""src/aiconfigurator/sdk/task.py"", line 989, in _supported_or_raise\n    raise exc_type(\nValueError: Unsupported gemm quant mode 'fp8_block' for system='rtx_pro_6000_server', backend='sglang', version='0.5.10'. Supported gemm modes: ['bfloat16', 'fp8', 'fp8_static', 'nvfp4']\n",uv run aiconfigurator cli default --model-path MiniMaxAI/MiniMax-M2.5 --total-gpus 128 --system rtx_pro_6000_server --backend sglang --backend-version 0.5.10 --database-mode SILICON --isl 256 --osl 256 --prefix 128 --ttft 2000000.0 --tpot 50000.0 --top-n 1 --no-color
MiniMaxAI/MiniMax-M2.5,MiniMaxM2ForCausalLM,rtx_pro_6000_server,trtllm,1.3.0rc10,agg,FRAMEWORK_INCOMPATIBLE,"FRAMEWORK_INCOMPATIBLE: TensorRT-LLM 1.3.0rc10 block-FP8 MoE on RTX Pro 6000 Server (SM120) fails in the TRT-LLM DeepGEMM MoE path before a collectable perf row is produced. Forced validation on an 8-GPU RTX Pro 6000 Server Brev node with nvcr.io/nvidia/tensorrt-llm/release:1.3.0rc10 ran collector/trtllm/collect_moe.py for this model's fp8_block expert shape and failed in tensorrt_llm/_torch/modules/fused_moe/fused_moe_deepgemm.py with RuntimeError: Assertion error (_deps/deepgemm-src/csrc/apis/../jit_kernels/impls/../heuristics/../../utils/layout.hpp:57): Unknown recipe.\n\nOriginal traceback:\nTraceback (most recent call last):\n  File ""tools/support_matrix/support_matrix.py"", line 1010, in run_single_test\n    python_pareto_df = SupportMatrix._run_mode(\n                       ^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""tools/support_matrix/support_matrix.py"", line 900, in _run_mode\n    task_config = SupportMatrix._create_task_config(\n                  ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""tools/support_matrix/support_matrix.py"", line 886, in _create_task_config\n    return TaskConfig(**task_config_kwargs)\n           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/task.py"", line 924, in __init__\n    self.validate()\n  File ""src/aiconfigurator/sdk/task.py"", line 1102, in validate\n    _validate_worker_config(\n  File ""src/aiconfigurator/sdk/task.py"", line 1072, in _validate_worker_config\n    _supported_or_raise(""moe"", moe_mode, supported, system_name, backend_version)\n  File ""src/aiconfigurator/sdk/task.py"", line 989, in _supported_or_raise\n    raise exc_type(\nValueError: Unsupported moe quant mode 'fp8_block' for system='rtx_pro_6000_server', backend='trtllm', version='1.3.0rc10'. Supported moe modes: ['bfloat16', 'fp8', 'nvfp4']\n",uv run aiconfigurator cli default --model-path MiniMaxAI/MiniMax-M2.5 --total-gpus 128 --system rtx_pro_6000_server --backend trtllm --backend-version 1.3.0rc10 --database-mode SILICON --isl 256 --osl 256 --prefix 128 --ttft 2000000.0 --tpot 50000.0 --top-n 1 --no-color
MiniMaxAI/MiniMax-M2.5,MiniMaxM2ForCausalLM,rtx_pro_6000_server,trtllm,1.3.0rc10,disagg,FRAMEWORK_INCOMPATIBLE,"FRAMEWORK_INCOMPATIBLE: TensorRT-LLM 1.3.0rc10 block-FP8 MoE on RTX Pro 6000 Server (SM120) fails in the TRT-LLM DeepGEMM MoE path before a collectable perf row is produced. Forced validation on an 8-GPU RTX Pro 6000 Server Brev node with nvcr.io/nvidia/tensorrt-llm/release:1.3.0rc10 ran collector/trtllm/collect_moe.py for this model's fp8_block expert shape and failed in tensorrt_llm/_torch/modules/fused_moe/fused_moe_deepgemm.py with RuntimeError: Assertion error (_deps/deepgemm-src/csrc/apis/../jit_kernels/impls/../heuristics/../../utils/layout.hpp:57): Unknown recipe.\n\nOriginal traceback:\nTraceback (most recent call last):\n  File ""tools/support_matrix/support_matrix.py"", line 1010, in run_single_test\n    python_pareto_df = SupportMatrix._run_mode(\n                       ^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""tools/support_matrix/support_matrix.py"", line 900, in _run_mode\n    task_config = SupportMatrix._create_task_config(\n                  ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""tools/support_matrix/support_matrix.py"", line 886, in _create_task_config\n    return TaskConfig(**task_config_kwargs)\n           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/task.py"", line 924, in __init__\n    self.validate()\n  File ""src/aiconfigurator/sdk/task.py"", line 1106, in validate\n    _validate_worker_config(\n  File ""src/aiconfigurator/sdk/task.py"", line 1072, in _validate_worker_config\n    _supported_or_raise(""moe"", moe_mode, supported, system_name, backend_version)\n  File ""src/aiconfigurator/sdk/task.py"", line 989, in _supported_or_raise\n    raise exc_type(\nValueError: Unsupported moe quant mode 'fp8_block' for system='rtx_pro_6000_server', backend='trtllm', version='1.3.0rc10'. Supported moe modes: ['bfloat16', 'fp8', 'nvfp4']\n",uv run aiconfigurator cli default --model-path MiniMaxAI/MiniMax-M2.5 --total-gpus 128 --system rtx_pro_6000_server --backend trtllm --backend-version 1.3.0rc10 --database-mode SILICON --isl 256 --osl 256 --prefix 128 --ttft 2000000.0 --tpot 50000.0 --top-n 1 --no-color
MiniMaxAI/MiniMax-M2.5,MiniMaxM2ForCausalLM,rtx_pro_6000_server,vllm,0.19.0,agg,PASS,,uv run aiconfigurator cli default --model-path MiniMaxAI/MiniMax-M2.5 --total-gpus 128 --system rtx_pro_6000_server --backend vllm --backend-version 0.19.0 --database-mode SILICON --isl 256 --osl 256 --prefix 128 --ttft 2000000.0 --tpot 50000.0 --top-n 1 --no-color
MiniMaxAI/MiniMax-M2.5,MiniMaxM2ForCausalLM,rtx_pro_6000_server,vllm,0.19.0,disagg,PASS,,uv run aiconfigurator cli default --model-path MiniMaxAI/MiniMax-M2.5 --total-gpus 128 --system rtx_pro_6000_server --backend vllm --backend-version 0.19.0 --database-mode SILICON --isl 256 --osl 256 --prefix 128 --ttft 2000000.0 --tpot 50000.0 --top-n 1 --no-color
MiniMaxAI/MiniMax-M2.7,MiniMaxM2ForCausalLM,rtx_pro_6000_server,sglang,0.5.10,agg,FRAMEWORK_INCOMPATIBLE,"FRAMEWORK_INCOMPATIBLE: RTX Pro 6000 Server uses SM120, and SGLang 0.5.10 does not have a working DeepGEMM fp8_block GEMM recipe for this GPU. This was verified on an 8-GPU RTX Pro 6000 Server Brev node with lmsysorg/sglang:v0.5.10-cu130: the SGLang collector reported compute capability 12.0 and excluded fp8_block from get_gemm_test_cases(), and direct run_gemm('fp8_block') probes for 128/256/512 square GEMMs all failed before producing perf data with RuntimeError: Assertion error (_deps/repo-deepgemm-src/csrc/apis/../jit_kernels/impls/../heuristics/../../utils/layout.hpp:56): Unknown recipe.\n\nOriginal traceback:\nTraceback (most recent call last):\n  File ""tools/support_matrix/support_matrix.py"", line 903, in run_single_test\n    python_pareto_df = SupportMatrix._run_mode(\n                       ^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""tools/support_matrix/support_matrix.py"", line 793, in _run_mode\n    task_config = SupportMatrix._create_task_config(\n                  ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""tools/support_matrix/support_matrix.py"", line 779, in _create_task_config\n    return TaskConfig(**task_config_kwargs)\n           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/task.py"", line 924, in __init__\n    self.validate()\n  File ""src/aiconfigurator/sdk/task.py"", line 1102, in validate\n    _validate_worker_config(\n  File ""src/aiconfigurator/sdk/task.py"", line 1061, in _validate_worker_config\n    _supported_or_raise(""gemm"", gemm_mode, supported, system_name, backend_version)\n  File ""src/aiconfigurator/sdk/task.py"", line 989, in _supported_or_raise\n    raise exc_type(\nValueError: Unsupported gemm quant mode 'fp8_block' for system='rtx_pro_6000_server', backend='sglang', version='0.5.10'. Supported gemm modes: ['bfloat16', 'fp8', 'fp8_static', 'nvfp4']\n",uv run aiconfigurator cli default --model-path MiniMaxAI/MiniMax-M2.7 --total-gpus 128 --system rtx_pro_6000_server --backend sglang --backend-version 0.5.10 --database-mode SILICON --isl 256 --osl 256 --prefix 128 --ttft 2000000.0 --tpot 50000.0 --top-n 1 --no-color
MiniMaxAI/MiniMax-M2.7,MiniMaxM2ForCausalLM,rtx_pro_6000_server,sglang,0.5.10,disagg,FRAMEWORK_INCOMPATIBLE,"FRAMEWORK_INCOMPATIBLE: RTX Pro 6000 Server uses SM120, and SGLang 0.5.10 does not have a working DeepGEMM fp8_block GEMM recipe for this GPU. This was verified on an 8-GPU RTX Pro 6000 Server Brev node with lmsysorg/sglang:v0.5.10-cu130: the SGLang collector reported compute capability 12.0 and excluded fp8_block from get_gemm_test_cases(), and direct run_gemm('fp8_block') probes for 128/256/512 square GEMMs all failed before producing perf data with RuntimeError: Assertion error (_deps/repo-deepgemm-src/csrc/apis/../jit_kernels/impls/../heuristics/../../utils/layout.hpp:56): Unknown recipe.\n\nOriginal traceback:\nTraceback (most recent call last):\n  File ""tools/support_matrix/support_matrix.py"", line 903, in run_single_test\n    python_pareto_df = SupportMatrix._run_mode(\n                       ^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""tools/support_matrix/support_matrix.py"", line 793, in _run_mode\n    task_config = SupportMatrix._create_task_config(\n                  ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""tools/support_matrix/support_matrix.py"", line 779, in _create_task_config\n    return TaskConfig(**task_config_kwargs)\n           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/task.py"", line 924, in __init__\n    self.validate()\n  File ""src/aiconfigurator/sdk/task.py"", line 1106, in validate\n    _validate_worker_config(\n  File ""src/aiconfigurator/sdk/task.py"", line 1061, in _validate_worker_config\n    _supported_or_raise(""gemm"", gemm_mode, supported, system_name, backend_version)\n  File ""src/aiconfigurator/sdk/task.py"", line 989, in _supported_or_raise\n    raise exc_type(\nValueError: Unsupported gemm quant mode 'fp8_block' for system='rtx_pro_6000_server', backend='sglang', version='0.5.10'. Supported gemm modes: ['bfloat16', 'fp8', 'fp8_static', 'nvfp4']\n",uv run aiconfigurator cli default --model-path MiniMaxAI/MiniMax-M2.7 --total-gpus 128 --system rtx_pro_6000_server --backend sglang --backend-version 0.5.10 --database-mode SILICON --isl 256 --osl 256 --prefix 128 --ttft 2000000.0 --tpot 50000.0 --top-n 1 --no-color
MiniMaxAI/MiniMax-M2.7,MiniMaxM2ForCausalLM,rtx_pro_6000_server,trtllm,1.3.0rc10,agg,FRAMEWORK_INCOMPATIBLE,"FRAMEWORK_INCOMPATIBLE: TensorRT-LLM 1.3.0rc10 block-FP8 MoE on RTX Pro 6000 Server (SM120) fails in the TRT-LLM DeepGEMM MoE path before a collectable perf row is produced. Forced validation on an 8-GPU RTX Pro 6000 Server Brev node with nvcr.io/nvidia/tensorrt-llm/release:1.3.0rc10 ran collector/trtllm/collect_moe.py for this model's fp8_block expert shape and failed in tensorrt_llm/_torch/modules/fused_moe/fused_moe_deepgemm.py with RuntimeError: Assertion error (_deps/deepgemm-src/csrc/apis/../jit_kernels/impls/../heuristics/../../utils/layout.hpp:57): Unknown recipe.\n\nOriginal traceback:\nTraceback (most recent call last):\n  File ""tools/support_matrix/support_matrix.py"", line 1010, in run_single_test\n    python_pareto_df = SupportMatrix._run_mode(\n                       ^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""tools/support_matrix/support_matrix.py"", line 900, in _run_mode\n    task_config = SupportMatrix._create_task_config(\n                  ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""tools/support_matrix/support_matrix.py"", line 886, in _create_task_config\n    return TaskConfig(**task_config_kwargs)\n           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/task.py"", line 924, in __init__\n    self.validate()\n  File ""src/aiconfigurator/sdk/task.py"", line 1102, in validate\n    _validate_worker_config(\n  File ""src/aiconfigurator/sdk/task.py"", line 1072, in _validate_worker_config\n    _supported_or_raise(""moe"", moe_mode, supported, system_name, backend_version)\n  File ""src/aiconfigurator/sdk/task.py"", line 989, in _supported_or_raise\n    raise exc_type(\nValueError: Unsupported moe quant mode 'fp8_block' for system='rtx_pro_6000_server', backend='trtllm', version='1.3.0rc10'. Supported moe modes: ['bfloat16', 'fp8', 'nvfp4']\n",uv run aiconfigurator cli default --model-path MiniMaxAI/MiniMax-M2.7 --total-gpus 128 --system rtx_pro_6000_server --backend trtllm --backend-version 1.3.0rc10 --database-mode SILICON --isl 256 --osl 256 --prefix 128 --ttft 2000000.0 --tpot 50000.0 --top-n 1 --no-color
MiniMaxAI/MiniMax-M2.7,MiniMaxM2ForCausalLM,rtx_pro_6000_server,trtllm,1.3.0rc10,disagg,FRAMEWORK_INCOMPATIBLE,"FRAMEWORK_INCOMPATIBLE: TensorRT-LLM 1.3.0rc10 block-FP8 MoE on RTX Pro 6000 Server (SM120) fails in the TRT-LLM DeepGEMM MoE path before a collectable perf row is produced. Forced validation on an 8-GPU RTX Pro 6000 Server Brev node with nvcr.io/nvidia/tensorrt-llm/release:1.3.0rc10 ran collector/trtllm/collect_moe.py for this model's fp8_block expert shape and failed in tensorrt_llm/_torch/modules/fused_moe/fused_moe_deepgemm.py with RuntimeError: Assertion error (_deps/deepgemm-src/csrc/apis/../jit_kernels/impls/../heuristics/../../utils/layout.hpp:57): Unknown recipe.\n\nOriginal traceback:\nTraceback (most recent call last):\n  File ""tools/support_matrix/support_matrix.py"", line 1010, in run_single_test\n    python_pareto_df = SupportMatrix._run_mode(\n                       ^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""tools/support_matrix/support_matrix.py"", line 900, in _run_mode\n    task_config = SupportMatrix._create_task_config(\n                  ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""tools/support_matrix/support_matrix.py"", line 886, in _create_task_config\n    return TaskConfig(**task_config_kwargs)\n           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/task.py"", line 924, in __init__\n    self.validate()\n  File ""src/aiconfigurator/sdk/task.py"", line 1106, in validate\n    _validate_worker_config(\n  File ""src/aiconfigurator/sdk/task.py"", line 1072, in _validate_worker_config\n    _supported_or_raise(""moe"", moe_mode, supported, system_name, backend_version)\n  File ""src/aiconfigurator/sdk/task.py"", line 989, in _supported_or_raise\n    raise exc_type(\nValueError: Unsupported moe quant mode 'fp8_block' for system='rtx_pro_6000_server', backend='trtllm', version='1.3.0rc10'. Supported moe modes: ['bfloat16', 'fp8', 'nvfp4']\n",uv run aiconfigurator cli default --model-path MiniMaxAI/MiniMax-M2.7 --total-gpus 128 --system rtx_pro_6000_server --backend trtllm --backend-version 1.3.0rc10 --database-mode SILICON --isl 256 --osl 256 --prefix 128 --ttft 2000000.0 --tpot 50000.0 --top-n 1 --no-color
